,Country,Year,Gold Standard,exch_usd,Domestic_Debt_In_Default,Sovereign External Debt,GDP_Weighted_default,"Inflation, Annual percentages of average consumer prices",Independence,Unemployment Rate,GDP,GDP PerCapita,Crisis
0,Canada,1800.0,0,0.2441,0,0,0,,0,0.0,,,0
1,Canada,1801.0,0,0.2379,0,0,0,,0,0.0,,,0
2,Canada,1802.0,0,0.2553,0,0,0,,0,0.0,,,0
3,Canada,1803.0,0,0.2527,0,0,0,,0,0.0,,,0
4,Canada,1804.0,0,0.243,0,0,0,,0,0.0,,,0
5,Canada,1805.0,0,0.2528,0,0,0,,0,0.0,,,0
6,Canada,1806.0,0,0.2478,0,0,0,,0,0.0,,,0
7,Canada,1807.0,0,0.2534,0,0,0,,0,0.0,,,0
8,Canada,1808.0,0,0.2418,0,0,0,,0,0.0,,,0
9,Canada,1809.0,0,0.2478,0,0,0,,0,0.0,,,0
10,Canada,1810.0,0,0.2515,0,0,0,,0,0.0,,,0
11,Canada,1811.0,0,0.2285,0,0,0,,0,0.0,,,0
12,Canada,1812.0,0,0.2502,0,0,0,,0,0.0,,,0
13,Canada,1813.0,0,0.2311,0,0,0,,0,0.0,,,0
14,Canada,1814.0,0,0.2696,0,0,0,,0,0.0,,,0
15,Canada,1815.0,0,0.262,0,0,0,,0,0.0,,,0
16,Canada,1816.0,0,0.2286,0,0,0,,0,0.0,,,0
17,Canada,1817.0,0,0.2429,0,0,0,,0,0.0,,,0
18,Canada,1818.0,0,0.2459,0,0,0,,0,0.0,,,0
19,Canada,1819.0,0,0.2642,0,0,0,,0,0.0,,,0
20,Canada,1820.0,0,0.2627,0,0,0,,0,0.0,738.0,904.4117647058823,0
21,Canada,1821.0,0,0.2585,0,0,0,,0,0.0,,,0
22,Canada,1822.0,0,0.25,0,0,0,,0,0.0,,,0
23,Canada,1823.0,0,0.2551,0,0,0,,0,0.0,,,0
24,Canada,1824.0,0,0.2582,0,0,0,,0,0.0,,,0
25,Canada,1825.0,0,0.2523,0,0,0,,0,0.0,,,0
26,Canada,1826.0,0,0.2534,0,0,0,,0,0.0,,,0
27,Canada,1827.0,0,0.2551,0,0,0,,0,0.0,,,0
28,Canada,1828.0,0,0.2525,0,0,0,,0,0.0,,,0
29,Canada,1829.0,0,0.2543,0,0,0,,0,0.0,,,0
30,Canada,1830.0,0,0.2465,0,0,0,,0,0.0,1169.0,1000.0,0
31,Canada,1831.0,0,0.2599,0,0,0,,0,0.0,,,0
32,Canada,1832.0,0,0.2538,0,0,0,,0,0.0,,,0
33,Canada,1833.0,0,0.2533,0,0,0,,0,0.0,,,0
34,Canada,1834.0,0,0.2653,0,0,0,,0,0.0,,,0
35,Canada,1835.0,0,0.2583,0,0,0,,0,0.0,,,0
36,Canada,1836.0,0,0.2658,0,0,0,,0,0.0,,,0
37,Canada,1837.0,0,0.2606,0,0,0,,0,0.0,,,0
38,Canada,1838.0,0,0.2698,0,0,0,,0,0.0,,,1
39,Canada,1839.0,0,0.2572,0,0,0,,0,0.0,,,1
40,Canada,1840.0,0,0.2561,0,0,0,,0,0.0,1972.0,1162.0506776664704,0
41,Canada,1841.0,0,0.2585,0,0,0,,0,0.0,,,0
42,Canada,1842.0,0,0.2573,0,0,0,,0,0.0,,,0
43,Canada,1843.0,0,0.2615,0,0,0,,0,0.0,,,0
44,Canada,1844.0,0,0.2571,0,0,0,,0,0.0,,,0
45,Canada,1845.0,0,0.2517,0,0,0,,0,0.0,,,0
46,Canada,1846.0,0,0.248,0,0,0,,0,0.0,,,0
47,Canada,1847.0,0,0.2697,0,0,0,,0,0.0,,,0
48,Canada,1848.0,0,0.2515,0,0,0,,0,0.0,,,0
49,Canada,1849.0,0,0.2633,0,0,0,,0,0.0,,,0
50,Canada,1850.0,0,0.2566,0,0,0,,0,0.0,3304.0,1329.5774647887324,0
51,Canada,1851.0,0,0.2522,0,0,0,,0,0.0,,,0
52,Canada,1852.0,0,0.2528,0,0,0,,0,0.0,,,0
53,Canada,1853.0,0,0.2509,0,0,0,,0,0.0,,,0
54,Canada,1854.0,1,0.2532,0,0,0,,0,0.0,,,0
55,Canada,1855.0,1,0.2492,0,0,0,,0,0.0,,,0
56,Canada,1856.0,1,0.2517,0,0,0,,0,0.0,,,0
57,Canada,1857.0,1,0.2567,0,0,0,,0,0.0,,,0
58,Canada,1858.0,1,1.0146,0,0,0,,0,0.0,,,0
59,Canada,1859.0,1,0.9835,0,0,0,,0,0.0,,,0
60,Canada,1860.0,1,0.9902,0,0,0,,0,0.0,4887.0,1450.578806767587,0
61,Canada,1861.0,1,1.0069,0,0,0,,0,0.0,,,0
62,Canada,1862.0,1,0.9927,0,0,0,,0,0.0,,,0
63,Canada,1863.0,1,0.6669,0,0,0,,0,0.0,,,0
64,Canada,1864.0,1,0.5575,0,0,0,,0,0.0,,,0
65,Canada,1865.0,1,0.6797,0,0,0,,0,0.0,,,0
66,Canada,1866.0,1,0.7851,0,0,0,,0,0.0,,,1
67,Canada,1867.0,1,0.7311,0,0,0,,1,0.0,,,0
68,Canada,1868.0,1,0.7156,0,0,0,-0.24937655860349794,1,0.0,,,0
69,Canada,1869.0,1,0.7387,0,0,0,0.8750000000000036,1,0.0,,,0
70,Canada,1870.0,1,0.8628,0,0,0,-1.115241635687736,1,0.0,6407.0,1694.5252578682887,0
71,Canada,1871.0,1,0.8959,0,0,0,2.421808386946762,1,0.0,6668.956000000001,1754.5267034990795,0
72,Canada,1872.0,1,0.8808,0,0,0,10.350345681178954,1,0.0,6599.123999999999,1705.1999999999996,0
73,Canada,1873.0,1,0.8432,0,0,0,-0.2353534663905264,1,0.0,7262.528,1841.8787725082427,1
74,Canada,1874.0,1,0.882,0,0,0,-3.803192097500749,1,0.0,7437.108,1853.715852442672,1
75,Canada,1875.0,1,0.8638,0,0,0,-4.277876631079481,1,0.0,7262.528,1783.966592974699,0
76,Canada,1876.0,1,0.8788,0,0,0,-3.1400966183574908,1,0.0,6773.703999999999,1640.9166666666663,0
77,Canada,1877.0,1,0.9256,0,0,0,-4.567227750633133,1,0.0,7227.611999999999,1727.4407265774375,0
